Description;Description2;Data.Carbohydrate;Data.Cholesterol;Data.Kilocalories;Data.Protein;Data.Household Weights.1st Household Weight Description
EGG,GOOSE,WHOLE,FRESH,RAW;EGG,GOOSE,WHOLE,FRESH,RAW 1 egg;135;852;185;1387;1 egg
EGG,QUAIL,WHOLE,FRESH,RAW;EGG,QUAIL,WHOLE,FRESH,RAW 1 egg;41;844;158;1305;1 egg
EGG,TURKEY,WHL,FRSH,RAW;EGG,TURKEY,WHL,FRSH,RAW 1 egg;115;933;171;1368;1 egg
EGG SUBSTITUTE,FROZEN;EGG SUBSTITUTE,FROZEN 1 cup;32;2;160;1129;1 cup
EGG SUBSTITUTE,LIQUID;EGG SUBSTITUTE,LIQUID 1 cup;64;1;84;120;1 cup
EGG SUBSTITUTE,POWDER;EGG SUBSTITUTE,POWDER .35 oz;218;572;444;555;.35 oz
BUTTER,WITHOUT SALT;BUTTER,WITHOUT SALT 1 cup;6;215;717;85;1 cup
CHEESE,PARMESAN,SHREDDED;CHEESE,PARMESAN,SHREDDED 1 tbsp;341;72;415;3786;1 tbsp
CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4;CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4 1 oz;16;94;375;2215;1 oz
CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4;CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4 1 oz;21;85;334;2473;1 oz
CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4;CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4 1 oz;729;64;328;1961;1 oz
CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4;CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4 1 oz;873;55;290;1641;1 oz
MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM);MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM) 1 cup;485;2;35;341;1 cup
MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A;MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A 1 cup;549;8;56;395;1 cup
MILK,CND,EVAP,W/ VIT A;MILK,CND,EVAP,W/ VIT A 1 fl oz;1004;29;134;681;1 fl oz
MILK,DRY,NONFAT,REG,W/ VIT A;MILK,DRY,NONFAT,REG,W/ VIT A 1 cup;5198;20;362;3616;1 cup
MILK,DRY,NONFAT,INST,WO/ VIT A;MILK,DRY,NONFAT,INST,WO/ VIT A 1 cup;5219;18;358;351;1 cup
CHEESE,GOAT,HARD TYPE;CHEESE,GOAT,HARD TYPE 1 oz;217;105;452;3052;1 oz
