Description;Description2;Data.Carbohydrate;Data.Cholesterol;Data.Kilocalories;Data.Protein;Data.Household Weights.1st Household Weight Description
BURGER KING, Chicken Tenders;BURGER KING, Chicken Tenders 4 pieces;1741;52;289;1725;4 pieces
BURGER KING,CHICK WHOPPER SNDWCH;BURGER KING,CHICK WHOPPER SNDWCH 1 item;1867;31;216;1177;1 item
BURGER KING,ORIGINAL CHICK SNDWCH;BURGER KING,ORIGINAL CHICK SNDWCH 1 item;2435;31;286;1257;1 item
TACO BELL,ORIGINAL TACO W/ BF;TACO BELL,ORIGINAL TACO W/ BF 1 item;1795;31;236;1079;1 item
TACO BELL,SOFT TACO W/ BF;TACO BELL,SOFT TACO W/ BF 1 item;1974;28;219;118;1 item
TACO BELL,SOFT TACO W/ CHICK;TACO BELL,SOFT TACO W/ CHICK 1 item;1958;37;202;1433;1 item
TACO BELL,SOFT TACO W/ STEAK;TACO BELL,SOFT TACO W/ STEAK 1 item;1722;31;225;1181;1 item
TACO BELL,BEAN BURRITO;TACO BELL,BEAN BURRITO 1 item;2777;9;204;79;1 item
TACO BELL,BURRITO SUPREME W/ BF;TACO BELL,BURRITO SUPREME W/ BF 1 item;2107;16;189;805;1 item
TACO BELL,BURRITO SUPREME W/ CHICK;TACO BELL,BURRITO SUPREME W/ CHICK 1 item;2051;21;179;984;1 item
TACO BELL,BURRITO SUPREME W/ STEAK;TACO BELL,BURRITO SUPREME W/ STEAK 1 item;2032;21;183;913;1 item
TACO BELL,NACHOS;TACO BELL,NACHOS 1 item;3638;4;366;515;1 item
TACO BELL,NACHOS SUPREME;TACO BELL,NACHOS SUPREME 1 item;2309;19;246;759;1 item
TACO BELL,TACO SALAD;TACO BELL,TACO SALAD 1 item;151;19;170;669;1 item
"PIZZA HUT 12"" CHS PIZZA,REG CRUST";"PIZZA HUT 12"" CHS PIZZA,REG CRUST 1 slice";3122;24;271;1193;1 slice
"PIZZA HUT 12"" CHS PIZZA,THICK CRUST";"PIZZA HUT 12"" CHS PIZZA,THICK CRUST 1 slice";2993;21;280;1173;1 slice
"PIZZA HUT 12"" CHS PIZZA,THIN 'N CRISPY CRUST";"PIZZA HUT 12"" CHS PIZZA,THIN 'N CRISPY CRUST 1 slice";2864;34;303;1529;1 slice
"PIZZA HUT 12"" PEPPERONI PIZZA,REG CRUST";"PIZZA HUT 12"" PEPPERONI PIZZA,REG CRUST 1 slice";3155;26;280;1286;1 slice
"PIZZA HUT 12"" PEPPERONI PIZZA,THICK CRUST";"PIZZA HUT 12"" PEPPERONI PIZZA,THICK CRUST 1 slice";3049;25;298;1197;1 slice
"PIZZA HUT 12"" SUPER SUPREME PIZZA,REG CRUST";"PIZZA HUT 12"" SUPER SUPREME PIZZA,REG CRUST 1 slice";2562;20;243;109;1 slice
"DOMINO'S 14"" Cheese Pizza, Classic Hand-Tossed Crust";"DOMINO'S 14"" Cheese Pizza, Classic Hand-Tossed Crust 1 slice";3445;13;257;1098;1 slice
"DOMINO'S 14"" Cheese Pizza, Ultimate Deep Dish Crust";"DOMINO'S 14"" Cheese Pizza, Ultimate Deep Dish Crust 1 slice";3393;14;274;1136;1 slice
"DOMINO'S 14"" Cheese Pizza, Crunchy Thin Crust";"DOMINO'S 14"" Cheese Pizza, Crunchy Thin Crust 1 slice";2801;21;315;1296;1 slice
"DOMINO'S 14"" Pepperoni Pizza, Classic Hand-Tossed Crust";"DOMINO'S 14"" Pepperoni Pizza, Classic Hand-Tossed Crust 1 slice";3229;22;270;116;1 slice
"DOMINO'S 14"" Pepperoni Pizza, Ultimate Deep Dish Crust";"DOMINO'S 14"" Pepperoni Pizza, Ultimate Deep Dish Crust 1 slice";323;17;288;1211;1 slice
"DOMINO'S 14"" EXTRAVAGANZZA FEAST Pizza";"DOMINO'S 14"" EXTRAVAGANZZA FEAST Pizza 1 slice";2572;20;244;1033;1 slice
"PAPA JOHN'S 14"" CHS PIZZA,ORIGINAL CRUST";"PAPA JOHN'S 14"" CHS PIZZA,ORIGINAL CRUST 1 slice";3274;19;260;1153;1 slice
"PAPA JOHN'S 14"" PEPPERONI PIZZA,ORIGINAL CRUST";"PAPA JOHN'S 14"" PEPPERONI PIZZA,ORIGINAL CRUST 1 slice";3004;26;275;1197;1 slice
"PAPA JOHN'S 14"" THE WORKS PIZZA,ORIGINAL CRUST";"PAPA JOHN'S 14"" THE WORKS PIZZA,ORIGINAL CRUST 1 slice";2669;21;240;1027;1 slice
"PAPA JOHN'S 14"" CHS PIZZA,THIN CRUST";"PAPA JOHN'S 14"" CHS PIZZA,THIN CRUST 1 slice";2626;28;295;1229;1 slice
"LITTLE CAESARS 14"" ORIGINAL RND CHS PIZZA,REG CRUST";"LITTLE CAESARS 14"" ORIGINAL RND CHS PIZZA,REG CRUST 1 slice";315;24;265;1339;1 slice
"LITTLE CAESARS 14"" ORIGINAL RND PEPPERONI PIZZA,REG CRUST";"LITTLE CAESARS 14"" ORIGINAL RND PEPPERONI PIZZA,REG CRUST 1 slice";3101;28;273;1359;1 slice
"LITTLE CAESARS 14"" ORIGINAL RND MEAT & VEG PIZZA,REG CRUST";"LITTLE CAESARS 14"" ORIGINAL RND MEAT & VEG PIZZA,REG CRUST 1 slice";231;31;243;1212;1 slice
"LITTLE CAESARS 14"" CHS PIZZA,LRG DEEP DISH CRUST";"LITTLE CAESARS 14"" CHS PIZZA,LRG DEEP DISH CRUST 1 slice";301;23;263;1263;1 slice
"LITTLE CAESARS 14"" PEPPERONI PIZZA,LRG DEEP DISH CRUST";"LITTLE CAESARS 14"" PEPPERONI PIZZA,LRG DEEP DISH CRUST 1 slice";2903;26;265;1293;1 slice
"LITTLE CAESARS 14"" CHS PIZZA,THIN CRUST";"LITTLE CAESARS 14"" CHS PIZZA,THIN CRUST 1 slice";2285;39;309;1623;1 slice
"PIZZA HUT 14"" CHS PIZZA,REG CRUST";"PIZZA HUT 14"" CHS PIZZA,REG CRUST 1 slice";3163;26;271;1175;1 slice
"PIZZA HUT 14"" CHS PIZZA,THICK CRUST";"PIZZA HUT 14"" CHS PIZZA,THICK CRUST 1 slice";2996;29;280;120;1 slice
"PIZZA HUT 14"" CHS PIZZA,THIN 'N CRISPY CRUST";"PIZZA HUT 14"" CHS PIZZA,THIN 'N CRISPY CRUST 1 slice";2903;41;296;1522;1 slice
"PIZZA HUT 14"" PEPPERONI PIZZA,REG CRUST";"PIZZA HUT 14"" PEPPERONI PIZZA,REG CRUST 1 slice";3248;29;287;1217;1 slice
"PIZZA HUT 14"" PEPPERONI PIZZA,THICK CRUST";"PIZZA HUT 14"" PEPPERONI PIZZA,THICK CRUST 1 slice";2987;32;298;1224;1 slice
"PIZZA HUT 14"" SUPER SUPREME PIZZA,REG CRUST";"PIZZA HUT 14"" SUPER SUPREME PIZZA,REG CRUST 1 slice";2601;28;248;1134;1 slice
"FST FD, PZZA CHN, 14"" PZZA, CHS TPPING, REG CRUST";"FST FD, PZZA CHN, 14"" PZZA, CHS TPPING, REG CRUST 1 slice";3258;21;264;1191;1 slice
"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,THICK CRUST";"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,THICK CRUST 1 slice";3133;24;272;120;1 slice
"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,THIN CRUST";"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,THIN CRUST 1 slice";2654;35;304;1417;1 slice
"FAST FD,PIZZA CHAIN,14"" PIZZA,PEPPERONI TOPPING,REG CRUST";"FAST FD,PIZZA CHAIN,14"" PIZZA,PEPPERONI TOPPING,REG CRUST 1 slice";3146;27;276;1233;1 slice
"FAST FD,PIZZA CHAIN,14"" PIZZA,PEPPERONI TOPPING,THICK CRUST";"FAST FD,PIZZA CHAIN,14"" PIZZA,PEPPERONI TOPPING,THICK CRUST 1 slice";304;28;284;1243;1 slice
"FAST FD,PIZZA CHAIN,14"" PIZZA,MEAT & VEG TOPPING,REG CRUST";"FAST FD,PIZZA CHAIN,14"" PIZZA,MEAT & VEG TOPPING,REG CRUST 1 slice";2538;27;244;1102;1 slice
Egg, Cheese and Sausage Griddle Cake Sandwich;Egg, Cheese and Sausage Griddle Cake Sandwich 1 item, 7.017 oz;2204;132;291;1077;1 item, 7.017 oz
Sausage Griddle Cake Sandwich;Sausage Griddle Cake Sandwich 1 item, 4.744 oz;3125;24;318;841;1 item, 4.744 oz
Egg, Cheese and Bacon Griddle Cake Sandwich;Egg, Cheese and Bacon Griddle Cake Sandwich 1 item, 5.923 oz;2619;147;272;1203;1 item, 5.923 oz
MCDONALD'S,CHICK SELECTS PREMIUM BREAST STRIPS;MCDONALD'S,CHICK SELECTS PREMIUM BREAST STRIPS 3 pieces, 4.6 oz;1783;40;303;1723;3 pieces, 4.6 oz
MCDONALD'S,CHICK MCNUGGETS;MCDONALD'S,CHICK MCNUGGETS 4 pieces, 2.3 oz;1722;44;291;1497;4 pieces, 2.3 oz
MCDONALD'S,BARBEQUE SAU;MCDONALD'S,BARBEQUE SAU 1 package;3693;0;165;155;1 package
MCDONALD'S,CREAMY RANCH SAU;MCDONALD'S,CREAMY RANCH SAU 1.5 oz;349;21;468;111;1.5 oz
MCDONALD'S,HONEY;MCDONALD'S,HONEY 1 package;8644;0;351;9;1 package
MCDONALD'S,HOT MUSTARD SAU;MCDONALD'S,HOT MUSTARD SAU 1 package;2908;0;190;26;1 package
MCDONALD'S,SPICY BUFFALO SAU;MCDONALD'S,SPICY BUFFALO SAU 1.5 oz;181;0;142;54;1.5 oz
MCDONALD'S,SWT 'N SOUR SAU;MCDONALD'S,SWT 'N SOUR SAU 1 package;3938;0;170;66;1 package
MCDONALD'S,TANGY HONEY MUSTARD SAU;MCDONALD'S,TANGY HONEY MUSTARD SAU 1.5 oz;2881;0;167;132;1.5 oz
MCDONALD'S,BISCUIT,REG SIZE;MCDONALD'S,BISCUIT,REG SIZE 1 item, 2.7 oz;4377;0;344;616;1 item, 2.7 oz
MCDONALD'S,DELUXE WARM CINN ROLL;MCDONALD'S,DELUXE WARM CINN ROLL 5.7 oz;518;34;367;562;5.7 oz
MCDONALD'S,HASH BROWNS;MCDONALD'S,HASH BROWNS 2 oz;263;0;262;226;2 oz
MCDONALD'S,SCRMBLD EGGS;MCDONALD'S,SCRMBLD EGGS 2 eggs, 3.6 oz;185;427;193;1506;2 eggs, 3.6 oz
MCDONALD'S,HOTCAKES (PLAIN);MCDONALD'S,HOTCAKES (PLAIN) 3 hotcakes;3827;13;228;60;3 hotcakes
MCDONALD'S,WARM CINN ROLL;MCDONALD'S,WARM CINN ROLL 3.7 oz;5302;58;398;718;3.7 oz
MCDONALD'S,SAUSAGE PATTY;MCDONALD'S,SAUSAGE PATTY 1.5 oz;14;74;405;1519;1.5 oz
MCDONALD'S,BKD APPL PIE;MCDONALD'S,BKD APPL PIE 2.7 oz;4362;0;323;307;2.7 oz
MCDONALD'S,MCDONALDLAND CHOC CHIP COOKIES;MCDONALD'S,MCDONALDLAND CHOC CHIP COOKIES 2 oz;6624;65;480;556;2 oz
MCDONALD'S,MCDONALDLAND COOKIES;MCDONALD'S,MCDONALDLAND COOKIES 2 oz;7275;0;447;656;2 oz
MCDONALD'S,BACON,EGG & CHS MCGRIDDLES;MCDONALD'S,BACON,EGG & CHS MCGRIDDLES 1 item, 5.9 oz;2619;147;272;1203;1 item, 5.9 oz
MCDONALD'S,SAUSAGE MCGRIDDLES;MCDONALD'S,SAUSAGE MCGRIDDLES 1 item, 4.744 oz;3125;24;312;841;1 item, 4.744 oz
MCDONALD'S,SAUSAGE,EGG & CHS MCGRIDDLES;MCDONALD'S,SAUSAGE,EGG & CHS MCGRIDDLES 1 item, 7 oz;2204;132;283;1077;1 item, 7 oz
MCDONALD'S,VANILLA TRIPLE THICK SHAKE;MCDONALD'S,VANILLA TRIPLE THICK SHAKE 12 fl oz cup, child size;2661;14;156;347;12 fl oz cup, child size
MCDONALD'S,CHOC TRIPLE THICK SHAKE;MCDONALD'S,CHOC TRIPLE THICK SHAKE 12 fl oz cup, child size;2787;14;163;369;12 fl oz cup, child size
MCDONALD'S,STRAWBERRY TRIPLE THICK SHAKE;MCDONALD'S,STRAWBERRY TRIPLE THICK SHAKE 12 fl oz cup, child size;2679;14;158;351;12 fl oz cup, child size
MCDONALD'S,VANILLA RED FAT ICE CRM CONE;MCDONALD'S,VANILLA RED FAT ICE CRM CONE 1 item, 3.175 oz;2636;15;162;424;1 item, 3.175 oz
MCDONALD'S,STRAWBERRY SUNDAE;MCDONALD'S,STRAWBERRY SUNDAE 1 item, 6.279 oz;2809;13;158;319;1 item, 6.279 oz
MCDONALD'S,HOT CARAMEL SUNDAE;MCDONALD'S,HOT CARAMEL SUNDAE 1 item, 6.42 oz;3336;16;188;358;1 item, 6.42 oz
MCDONALD'S,HOT FUDGE SUNDAE;MCDONALD'S,HOT FUDGE SUNDAE 1 item, 6.314 oz;3005;13;186;414;1 item, 6.314 oz
MCDONALD'S,PNUTS (FOR SUNDAES);MCDONALD'S,PNUTS (FOR SUNDAES) .3 oz;1623;0;640;2804;.3 oz
MCDONALD'S,MCFLURRY W/ M&M'S CANDIES;MCDONALD'S,MCFLURRY W/ M&M'S CANDIES 12 fl oz cup, regular;2682;16;177;402;12 fl oz cup, regular
MCDONALD'S,MCFLURRY W/ OREO COOKIES;MCDONALD'S,MCFLURRY W/ OREO COOKIES 12 fl oz cup, regular;2555;15;165;397;12 fl oz cup, regular
MCDONALD'S,SAUSAGE BURRITO;MCDONALD'S,SAUSAGE BURRITO 1 item, 3.993 oz;2139;153;262;1154;1 item, 3.993 oz
MCDONALD'S,BIG BRKFST;MCDONALD'S,BIG BRKFST 1 item, 9.5 oz;175;173;285;1016;1 item, 9.5 oz
MCDONALD'S,APPL DIPPERS;MCDONALD'S,APPL DIPPERS 1 package;121;0;48;0;1 package
MCDONALD'S,LOFAT CARAMEL SAU;MCDONALD'S,LOFAT CARAMEL SAU .8 oz;7153;12;313;189;.8 oz
MCDONALD'S,DOUBLE CHEESEBURGER;MCDONALD'S,DOUBLE CHEESEBURGER 1 item;1983;48;265;1489;1 item
MCDONALD'S,DOUBLE QUARTER POUNDER W/ CHS;MCDONALD'S,DOUBLE QUARTER POUNDER W/ CHS 1 item;1443;57;262;1696;1 item
MCDONALD'S,NEWMAN'S OWN COBB DRSNG;MCDONALD'S,NEWMAN'S OWN COBB DRSNG 2 fl oz;1549;13;196;169;2 fl oz
MCDONALD'S,NEWMAN'S OWN CREAMY CAESAR DRSNG;MCDONALD'S,NEWMAN'S OWN CREAMY CAESAR DRSNG 2 fl oz;685;35;319;356;2 fl oz
MCDONALD'S,NEWMAN'S OWN LOFAT BALSAMIC VINAIGRETTE;MCDONALD'S,NEWMAN'S OWN LOFAT BALSAMIC VINAIGRETTE 2 fl oz;2465;0;86;19;2 fl oz
MCDONALD'S,NEWMAN'S OWN RANCH DRSNG;MCDONALD'S,NEWMAN'S OWN RANCH DRSNG 2 fl oz;1675;32;313;262;2 fl oz
MCDONALD'S,BIG MAC (WITHOUT BIG MAC SAUCE);MCDONALD'S,BIG MAC (WITHOUT BIG MAC SAUCE) 1 item;2101;35;234;1279;1 item
MCDONALD'S,BIG 'N TASTY;MCDONALD'S,BIG 'N TASTY 1 item;166;33;226;1064;1 item
MCDONALD'S,BIG 'N TASTY (WITHOUT MAYONNAISE);MCDONALD'S,BIG 'N TASTY (WITHOUT MAYONNAISE) 1 item;1744;31;192;1125;1 item
MCDONALD'S,BIG 'N TASTY W/ CHS;MCDONALD'S,BIG 'N TASTY W/ CHS 1 item;1606;37;232;110;1 item
MCDONALD'S,BIG 'N TASTY W/ CHS (WITHOUT MAYONNAISE);MCDONALD'S,BIG 'N TASTY W/ CHS (WITHOUT MAYONNAISE) 1 item;1681;34;201;1159;1 item
MCDONALD'S,MCCHICKEN SNDWCH (WITHOUT MAYONNAISE);MCDONALD'S,MCCHICKEN SNDWCH (WITHOUT MAYONNAISE) 1 item;3095;22;240;1108;1 item
MCDONALD'S,EGG MCMUFFIN;MCDONALD'S,EGG MCMUFFIN 1 item, 4.8 oz;2054;165;215;1265;1 item, 4.8 oz
MCDONALD'S,SAUSAGE MCMUFFIN;MCDONALD'S,SAUSAGE MCMUFFIN 1 item, 4 oz;2452;39;333;1266;1 item, 4 oz
MCDONALD'S,SAUSAGE MCMUFFIN W/ EGG;MCDONALD'S,SAUSAGE MCMUFFIN W/ EGG 1 item, 5.7 oz;1728;154;274;1259;1 item, 5.7 oz
MCDONALD'S,BACON EGG & CHS BISCUIT;MCDONALD'S,BACON EGG & CHS BISCUIT 1 item, 5 oz;2226;167;304;1345;1 item, 5 oz
MCDONALD'S,SAUSAGE BISCUIT;MCDONALD'S,SAUSAGE BISCUIT 1 item, 4.1 oz;272;29;376;962;1 item, 4.1 oz
MCDONALD'S,SAUSAGE BISCUIT W/ EGG;MCDONALD'S,SAUSAGE BISCUIT W/ EGG 1 item, 5.7 oz;1928;152;311;1127;1 item, 5.7 oz
MCDONALD'S,DELUXE BRKFST,W/ SYRUP & MARGARINE;MCDONALD'S,DELUXE BRKFST,W/ SYRUP & MARGARINE 1 item, 14.8 oz;2948;109;285;756;1 item, 14.8 oz
MCDONALD'S,HOTCAKES & SAUSAGE;MCDONALD'S,HOTCAKES & SAUSAGE 1 item;3879;19;294;587;1 item
MCDONALD'S,HOTCAKES (WITH 2 PATS MARGARINE & SYRUP);MCDONALD'S,HOTCAKES (WITH 2 PATS MARGARINE & SYRUP) 1 item;4608;9;272;405;1 item
MCDONALD'S,APPL DIPPERS W/ LOFAT CARAMEL SAU;MCDONALD'S,APPL DIPPERS W/ LOFAT CARAMEL SAU 1 item;2612;3;111;45;1 item
MCDONALD'S,FRUIT & WALNUT SALAD;MCDONALD'S,FRUIT & WALNUT SALAD 1 item;166;2;118;181;1 item
MCDONALD'S,CAESAR SALAD W/ GRILLED CHICK;MCDONALD'S,CAESAR SALAD W/ GRILLED CHICK 1 item, 10.9 oz;367;24;71;982;1 item, 10.9 oz
MCDONALD'S,CAESAR SALAD W/ CRISPY CHICK;MCDONALD'S,CAESAR SALAD W/ CRISPY CHICK 1 item, 11.1 oz;62;18;104;832;1 item, 11.1 oz
MCDONALD'S,CAESAR SALAD WO/ CHICK;MCDONALD'S,CAESAR SALAD WO/ CHICK 1 item;428;5;44;318;1 item
MCDONALD'S,BACON RANCH SALAD W/ GRILLED CHICK;MCDONALD'S,BACON RANCH SALAD W/ GRILLED CHICK 1 item, 11.2 oz;364;28;81;1028;1 item, 11.2 oz
MCDONALD'S BACON RANCH SALAD W/ CRISPY CHICK;MCDONALD'S BACON RANCH SALAD W/ CRISPY CHICK 1 item, 11.4 oz;608;22;110;882;1 item, 11.4 oz
MCDONALD'S,BACON RANCH SALAD WO/ CHICK;MCDONALD'S,BACON RANCH SALAD WO/ CHICK 1 item;42;12;61;414;1 item
MCDONALD'S,SIDE SALAD;MCDONALD'S,SIDE SALAD 1 item;43;0;20;103;1 item
MCDONALD'S,FRUIT 'N YOGURT PARFAIT;MCDONALD'S,FRUIT 'N YOGURT PARFAIT 1 item;2072;5;105;273;1 item
MCDONALD'S,FRUIT 'N YOGURT PARFAIT (WITHOUT GRANOLA);MCDONALD'S,FRUIT 'N YOGURT PARFAIT (WITHOUT GRANOLA) 1 item;1767;5;90;247;1 item
MCDONALD'S,FILET-O-FISH (WITHOUT TARTAR SAUCE);MCDONALD'S,FILET-O-FISH (WITHOUT TARTAR SAUCE) 1 item;3108;25;243;1247;1 item
BURGER KING,CROISSAN'WICH W/ SAUSAGE,EGG & CHS;BURGER KING,CROISSAN'WICH W/ SAUSAGE,EGG & CHS 1 item;1765;120;322;1231;1 item
BURGER KING,CROISSAN'WICH W/ SAUSAGE & CHS;BURGER KING,CROISSAN'WICH W/ SAUSAGE & CHS 1 item;230;43;376;1373;1 item
BURGER KING,CROISSAN'WICH W/ EGG & CHS;BURGER KING,CROISSAN'WICH W/ EGG & CHS 1 item;2479;139;283;1035;1 item
BURGER KING,FRENCH TOAST STKS;BURGER KING,FRENCH TOAST STKS 1 stick;4121;0;349;60;1 stick
BURGER KING,HASH BROWN ROUNDS;BURGER KING,HASH BROWN ROUNDS 1 serving, small;3455;0;369;287;1 serving, small
FAST FOODS,MINIATURE CINN ROLLS;FAST FOODS,MINIATURE CINN ROLLS 1 each;5338;21;403;702;1 each
"FAST FOODS,HAMBURGER; DOUBLE,LRG PATY; W/ CONDMNT,VEG & MAYO";"FAST FOODS,HAMBURGER; DOUBLE,LRG PATY; W/ CONDMNT,VEG & MAYO 1 item";1374;46;252;1394;1 item
"FT FDS, HAMBRGER; SIN, LRG PATTY; W/ CONDMNTS, VEG, MAYO";"FT FDS, HAMBRGER; SIN, LRG PATTY; W/ CONDMNTS, VEG, MAYO 1 item";1733;33;226;1134;1 item
"FAST FOODS,HAMBURGER; SINGLE,LRG PATTY; W/ CONDMNT";"FAST FOODS,HAMBURGER; SINGLE,LRG PATTY; W/ CONDMNT 1 item";2214;40;256;1568;1 item
"FAST FOODS,HMBURGR; SNG,REG PTTY; DBL BN W/ CNDMNT & SPL SAU";"FAST FOODS,HMBURGR; SNG,REG PTTY; DBL BN W/ CNDMNT & SPL SAU 1 item";2269;32;259;1217;1 item
"FAST FOODS,CHEESEBURGER; DOUBLE,REG PATTY; W/ CONDMNT";"FAST FOODS,CHEESEBURGER; DOUBLE,REG PATTY; W/ CONDMNT 1 item";1983;48;274;1489;1 item
"FAST FOODS,CHEESEBURGER; DOUBLE,LRG PATTY; W/ CONDMNT";"FAST FOODS,CHEESEBURGER; DOUBLE,LRG PATTY; W/ CONDMNT 1 item";1443;57;272;1696;1 item
"FAST FDS,CHSEBURGER;SINGLE,LRG PATTY; W/ CONDMNT,VEG & MAYO";"FAST FDS,CHSEBURGER;SINGLE,LRG PATTY; W/ CONDMNT,VEG & MAYO 1 item";1545;37;235;1303;1 item
"FAST FOODS,CHEESEBURGER; SINGLE,LRG PATTY; W/ CONDMNT";"FAST FOODS,CHEESEBURGER; SINGLE,LRG PATTY; W/ CONDMNT 1 item";1972;48;269;1521;1 item
"FAST FDS,CHSEBURGER; DOUBLE,LRG PATTY; W/ CONDMNT,VEG & MAYO";"FAST FDS,CHSEBURGER; DOUBLE,LRG PATTY; W/ CONDMNT,VEG & MAYO 1 item";1262;49;253;155;1 item
"FAST FOODS,CHSBURGR; DBL,RG PTTY; DBL BN W/ CNDMNT & SPL SAU";"FAST FOODS,CHSBURGR; DBL,RG PTTY; DBL BN W/ CNDMNT & SPL SAU 1 item";2153;36;261;1194;1 item
FAST FOODS,CHICK TENDERS;FAST FOODS,CHICK TENDERS 4 pieces;1779;50;290;1729;4 pieces
MCDONALD'S,PREMIUM GRILLED CHICK CLASSIC SNDWCH;MCDONALD'S,PREMIUM GRILLED CHICK CLASSIC SNDWCH 1 item, 8 oz;2228;34;183;1416;1 item, 8 oz
MCDONALD'S,PREMIUM CRISPY CHICK CLASSIC SNDWCH;MCDONALD'S,PREMIUM CRISPY CHICK CLASSIC SNDWCH 1 item, 8.1 oz;2546;26;228;1208;1 item, 8.1 oz
MCDONALD'S,PREMIUM GRILLED CHICK CLUB SNDWCH;MCDONALD'S,PREMIUM GRILLED CHICK CLUB SNDWCH 1 item, 9.4 oz;1987;46;221;1719;1 item, 9.4 oz
MCDONALD'S,PREMIUM CRISPY CHICK CLUB SNDWCH;MCDONALD'S,PREMIUM CRISPY CHICK CLUB SNDWCH 1 item, 9 oz;2261;38;250;1538;1 item, 9 oz
MCDONALD'S,PREMIUM GRILLED CHICK RANCH BLT SNDWCH;MCDONALD'S,PREMIUM GRILLED CHICK RANCH BLT SNDWCH 1 item, 8.5 oz;2191;38;204;167;1 item, 8.5 oz
MCDONALD'S,PREMIUM CRISPY CHICK RANCH BLT SNDWCH;MCDONALD'S,PREMIUM CRISPY CHICK RANCH BLT SNDWCH 1 item, 8.5 oz;2493;30;244;147;1 item, 8.5 oz
MCDONALD'S,ENG MUFFIN;MCDONALD'S,ENG MUFFIN 1 item, 2 oz;4436;0;285;926;1 item, 2 oz
FAST FOODS,BAGEL,W/ HAM,EGG,& CHS;FAST FOODS,BAGEL,W/ HAM,EGG,& CHS 1 item;2743;127;253;1397;1 item
FAST FOODS,BAGEL,W/ EGG,SAUSAGE PATTY,CHS,& CONDMNT;FAST FOODS,BAGEL,W/ EGG,SAUSAGE PATTY,CHS,& CONDMNT 1 item;2264;133;295;1298;1 item
FAST FOODS,BAGEL,W/ BRKFST STEAK,EGG,CHS,& CONDMNT;FAST FOODS,BAGEL,W/ BRKFST STEAK,EGG,CHS,& CONDMNT 1 item;2299;130;282;1595;1 item
LIGHT ICE CRM,SOFT SERVE,BLENDED W/ MILK CHOC CANDIES;LIGHT ICE CRM,SOFT SERVE,BLENDED W/ MILK CHOC CANDIES 12 fl oz, cup;2682;16;182;402;12 fl oz, cup
LIGHT ICE CRM,SOFT SERVE,BLENDED W/ COOKIE PIECES;LIGHT ICE CRM,SOFT SERVE,BLENDED W/ COOKIE PIECES 12 fl oz, cup;2555;15;169;397;12 fl oz, cup
POPEYES,BATTER FRIES,ANALYZED PRIOR TO DECEMBER 2006;POPEYES,BATTER FRIES,ANALYZED PRIOR TO DECEMBER 2006 1 package;3506;10;302;403;1 package
POPEYES,BISCUIT,ANALYZED PRIOR TO NOVEMBER 2006;POPEYES,BISCUIT,ANALYZED PRIOR TO NOVEMBER 2006 1 biscuit;4188;2;400;573;1 biscuit
POPEYES,COLESLAW;POPEYES,COLESLAW 1 cup;1412;7;161;98;1 cup
POPEYES,MILD CHICK STRIPS,ANALYZED 2006;POPEYES,MILD CHICK STRIPS,ANALYZED 2006 1 strip;1931;52;271;192;1 strip
POPEYES,SPICY CHICK STRIPS,ANALYZED 2006;POPEYES,SPICY CHICK STRIPS,ANALYZED 2006 1 strip;1852;53;253;1961;1 strip
KENTUCKY FRIED CHICK,BISCUIT,ANALYZED PRIOR TO JANUARY 2007;KENTUCKY FRIED CHICK,BISCUIT,ANALYZED PRIOR TO JANUARY 2007 1 biscuit;4251;1;356;725;1 biscuit
KENTUCKY FRIED CHICK,COLESLAW;KENTUCKY FRIED CHICK,COLESLAW 1 cup;1565;2;144;91;1 cup
KENTUCKY FRIED CHICK,CRISPY CHICK STRIPS,ANALYZED 2007;KENTUCKY FRIED CHICK,CRISPY CHICK STRIPS,ANALYZED 2007 1 strip;1372;51;274;2047;1 strip
KENTUCKY FRIED CHICK,POPCORN CHICK,ANALYZED PRIOR 2007;KENTUCKY FRIED CHICK,POPCORN CHICK,ANALYZED PRIOR 2007 1 piece;213;40;361;1803;1 piece
KENTUCKY FRIED CHICK,POTATO WEDGES,ANALYZED PRIOR 2007;KENTUCKY FRIED CHICK,POTATO WEDGES,ANALYZED PRIOR 2007 1 package;3355;0;283;405;1 package
KENTUCKY FRIED CHICK,FRIED CHICK,ORIGINAL RECPE,SKN & BRDING;KENTUCKY FRIED CHICK,FRIED CHICK,ORIGINAL RECPE,SKN & BRDING ;1725;70;379;1217;
KENTUCKY FRIED CHICK,ORIGINAL RECIPE,BREAST,MEAT ONLY;KENTUCKY FRIED CHICK,ORIGINAL RECIPE,BREAST,MEAT ONLY 1 breast, without skin;0;87;171;2946;1 breast, without skin
KENTUCKY FRIED CHICK,ORIGINAL RECIPE,DRUMSTK,MEAT ONLY;KENTUCKY FRIED CHICK,ORIGINAL RECIPE,DRUMSTK,MEAT ONLY 1 drumstick, bone and skin removed;49;137;187;2692;1 drumstick, bone and skin removed
