Descrição,Quilocalorias,Carbohidratos,Proteínas,Data.Fat.Total Lipid,Peso (g)
ARCHWAY HOME STYLE COOKIES.RUTH'S OATMEAL,428,66.15,5.94,15.88,26
ARCHWAY HOME STYLE COOKIES.SUGAR FREE OATMEAL,442,67.2,5.54,20.92,24
ARROWHEAD.CKD.BLD.DRND.W/SALT,78,16.14,4.49,0.1,12
ARROWHEAD.CKD.BLD.DRND.WO/SALT,78,16.14,4.49,0.1,12
ARROWHEAD.RAW,99,20.23,5.33,0.29,25
ARROWROOT FLOUR,357,88.15,0.3,0.1,128
ARROWROOT.RAW,65,13.39,4.24,0.2,120
ARTICHOKES.(GLOBE OR FRENCH).CKD.BLD.DRND.W/SALT,53,11.95,2.89,0.34,120
ARTICHOKES.(GLOBE OR FRENCH).CKD.BLD.DRND.WO/SALT,53,11.95,2.89,0.34,120
ARTICHOKES.(GLOBE OR FRENCH).FRZ.CKD.BLD.DRND.W/SALT,45,9.18,3.11,0.5,168
ARTICHOKES.(GLOBE OR FRENCH).FRZ.CKD.BLD.DRND.WO/SALT,45,9.18,3.11,0.5,168
ARTICHOKES.(GLOBE OR FRENCH).FRZ.UNPREP,38,7.76,2.63,0.43,255
ARTICHOKES.(GLOBE OR FRENCH).RAW,47,10.51,3.27,0.15,128
ARTIFICIAL BLUEBERRY MUFFIN MIX.DRY,407,77.45,4.7,8.7,31
ARUGULA.RAW,25,3.65,2.58,0.66,2
ASPARAGUS.CKD.BLD.DRND,22,4.11,2.4,0.22,90
ASPARAGUS.CKD.BLD.DRND.W/SALT,22,4.11,2.4,0.22,90
ASPARAGUS.CND.DRND SOL,19,2.46,2.14,0.65,242
ASPARAGUS.CND.NO SALT.SOL&LIQUIDS,15,2.48,1.8,0.18,122
ASPARAGUS.CND.REG PK.SOL&LIQUIDS,15,2.47,1.8,0.18,122
ASPARAGUS.FRZ.CKD.BLD.DRND.W/SALT,18,1.92,2.95,0.42,180
ASPARAGUS.FRZ.CKD.BLD.DRND.WO/SALT,18,1.92,2.95,0.42,180
ASPARAGUS.FRZ.UNPREP,24,4.1,3.23,0.23,284
ASPARAGUS.RAW,20,3.88,2.2,0.12,134
AVOCADOS.RAW.ALL COMM VAR,160,8.53,2,14.66,150
AVOCADOS.RAW.CALIFORNIA,167,8.64,1.96,15.41,230
AVOCADOS.RAW.FLORIDA,120,7.82,2.23,10.06,230
Babyfood. vegetables. squash. strained,28,5.73,0.81,0.2,16.46
BABYFOOD.APPL YOGURT DSSRT.STR,96,19.5,0.8,1.6,15
BABYFOOD.APPLE-BANANA JUC,51,12.3,0.2,0.1,31.2
BABYFOOD.APPLE-CRANBERRY JUC,46,11.49,0,0.02,31.2
BABYFOOD.APPLS W/HAM.STR,62,10.9,2.6,0.9,15
BABYFOOD.APPLS.DICES.TODD,51,12.1,0.2,0.1,28.35
BABYFOOD.BANANA APPL DSSRT.STR,68,16.3,0.3,0.2,15
BABYFOOD.BANANA JUC W/LOFAT YOGURT,89,17.54,2.5,0.8,31.5
BABYFOOD.BANANA NO TAPIOCA.STR,91,21.34,1,0.2,15
BABYFOOD.BKD PRODUCT.FINGER SNACKS CRL,421,76.68,6.4,9.9,1.7
BABYFOOD.CARROTS&BF.STR,59,5.7,3.4,2.5,15
BABYFOOD.CARROTS.TODDLER,26,5.23,0.6,0.3,28.35
BABYFOOD.CEREAL.MIXED.DRY,379,73.3,12.2,4.4,2.5
BABYFOOD.CEREAL.RICE.DRY,391,77.6,7.1,4.9,2.5
BABYFOOD.CHERRY COBBLER.JR,78,19.2,0.3,0.1,28.35
BABYFOOD.COOKIE.BABY.FRUIT,435,73.7,6.8,12.6,8
BABYFOOD.COOKIES,433,67.1,11.8,13.2,28.35
BABYFOOD.COOKIES.ARROWROOT,442,71.2,7.6,14.3,28.35
BABYFOOD.CORN & SWT POTATOES.STR,68,15.23,1.26,0.28,28.35
BABYFOOD.CRACKERS.VEG,476,66.9,8.4,19.6,0.7
BABYFOOD.CRL.BARLEY.DRY,365,75.3,11.1,3.4,2.4
BABYFOOD.CRL.BARLEY.PREP W/WHL MILK,111,16.3,4.6,3.3,28.35
BABYFOOD.CRL.BROWN RICE.DRY.INST,404,85.65,8.7,3,3.7
BABYFOOD.CRL.EGG YOLKS&BACON.JR,79,6.2,2.5,5,28.35
BABYFOOD.CRL.HI PROT.PREP W/WHL MILK,111,11.6,8.7,3.8,28.35
BABYFOOD.CRL.HI PROT.W/APPL&ORANGE.DRY,374,57.6,25.4,6.5,2.4
BABYFOOD.CRL.HI PROT.W/APPL&ORANGE.PREP W/WHL MILK,112,13.4,6.9,3.9,28.35
BABYFOOD.CRL.MXD.PREP W/WHL MILK,113,15.9,4.8,3.5,28.35
BABYFOOD.CRL.MXD.W/ APPLSAUC & BANANAS.JR,83,18.4,1.2,0.4,28.35
BABYFOOD.CRL.MXD.W/APPLSAUC&BANANAS.STR,82,17.9,1.2,0.5,28.35
BABYFOOD.CRL.MXD.W/BANANAS.DRY,391,77.1,10.7,4.6,2.5
BABYFOOD.CRL.MXD.W/BANANAS.PREP W/WHL MILK,115,16.6,4.5,3.6,28.35
BABYFOOD.CRL.MXD.W/HONEY.PREP W/WHL MILK,115,15.9,5,3.6,28.35
BABYFOOD.CRL.OATMEAL.DRY,399,69.65,13.07,8,3.18
BABYFOOD.CRL.OATMEAL.PREP W/WHL MILK,116,15.3,5,4.1,28.35
BABYFOOD.CRL.OATMEAL.W/APPLSAUC&BANANAS.JR,75,15.7,1.3,0.7,28.35
BABYFOOD.CRL.OATMEAL.W/APPLSAUC&BANANAS.STR,74,15.4,1.3,0.7,28.35
BABYFOOD.CRL.OATMEAL.W/BANANAS.DRY,393,73.4,12,6,2.5
BABYFOOD.CRL.OATMEAL.W/BANANAS.PREP W/WHL MILK,116,16,4.7,3.8,28.35
BABYFOOD.CRL.OATMEAL.W/HONEY.DRY,391,69.3,13.5,7,2.4
BABYFOOD.CRL.OATMEAL.W/HONEY.PREP W/WHL MILK,115,15.3,5,3.9,28.35
BABYFOOD.CRL.RICE.PREP W/WHL MILK,115,16.7,3.9,3.6,28.35
BABYFOOD.CRL.RICE.W/APPLSAUC&BANANAS.STR,80,17.1,1.2,0.4,16
BABYFOOD.CRL.RICE.W/BANANAS.DRY,404,79.9,8.7,4.2,2.5
BABYFOOD.CRL.RICE.W/BANANAS.PREP W/WHL MILK,117,17,4.2,3.5,28.35
BABYFOOD.CRL.RICE.W/HONEY.PREP W/WHL MILK,115,17.1,3.9,3.3,28.35
BABYFOOD.CRL.RICE.W/MXD FRUIT.JR,82,18.3,0.9,0.2,15
BABYFOOD.CRL.W/EGG YOLKS.JR,52,7.1,1.9,1.8,28.35
BABYFOOD.CRL.W/EGG YOLKS.STR,51,7,1.9,1.8,28.35
BABYFOOD.CRL.W/EGGS.STR,58,8,2.2,1.5,28.35
BABYFOOD.CRL.WHL WHEAT.W/APPLS.DRY,402,77.1,12.6,4.8,15
BABYFOOD.DINNER.APPLS&CHICK.STR,65,10.87,2.16,1.38,28.35
